Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,3.00391,0.74660,0.85938,0.85938,0.70313,0.70313
1,256,3.98438,1.00000,1.00000,1.00000,0.00000,0.00000
2,256,3.96875,1.00000,1.00000,1.00000,0.00000,0.00000
3,256,3.90234,0.98813,0.99219,0.99219,0.02836,0.02836
4,256,2.88672,0.73096,0.86719,0.86719,0.63169,0.63169
5,256,2.83594,0.71037,0.85938,0.85938,0.64250,0.64250
6,256,2.87109,0.72200,0.85938,0.85938,0.61943,0.61943
7,256,2.87109,0.71848,0.86328,0.86328,0.63690,0.63690
8,256,2.92188,0.72621,0.87109,0.87109,0.63496,0.63496
9,256,2.85156,0.71569,0.85547,0.85547,0.64119,0.64119
10,256,2.92188,0.73622,0.87109,0.87109,0.64022,0.64022
11,256,2.83984,0.71909,0.83203,0.83203,0.61955,0.61955
12,256,2.63672,0.66766,0.73438,0.73438,0.61956,0.61956
13,256,2.45703,0.61546,0.69531,0.69531,0.73334,0.73334
14,256,2.89062,0.72692,0.81250,0.81250,0.56462,0.56462
15,256,2.36328,0.59140,0.64453,0.64453,0.71811,0.71811
16,256,2.39062,0.59417,0.66016,0.66016,0.74374,0.74374
17,256,2.58594,0.64902,0.72266,0.72266,0.64004,0.64004
18,256,1.91016,0.48130,0.52734,0.52734,0.78414,0.78414
19,256,1.85938,0.47082,0.53125,0.53125,0.78262,0.78262
20,256,2.28906,0.57962,0.64062,0.64062,0.72701,0.72701
21,256,1.53906,0.38552,0.44141,0.44141,0.85195,0.85195
22,256,1.87891,0.47250,0.53516,0.53516,0.80455,0.80455
23,256,2.01562,0.50440,0.53516,0.53516,0.77547,0.77547
24,256,1.53516,0.38155,0.40625,0.40625,0.83925,0.83925
25,256,1.16016,0.29118,0.30859,0.30859,0.87734,0.87734
26,256,1.65625,0.41732,0.43750,0.43750,0.81297,0.81297
27,256,1.25391,0.31751,0.32812,0.32812,0.86978,0.86978
28,256,1.46094,0.36993,0.39844,0.39844,0.81035,0.81035
29,256,1.10547,0.27691,0.31641,0.31641,0.88286,0.88286
30,256,1.08594,0.27308,0.29297,0.29297,0.87519,0.87519
31,256,1.16406,0.29130,0.32812,0.32812,0.86785,0.86785
32,256,1.28516,0.31942,0.34375,0.34375,0.85385,0.85385
33,256,0.62500,0.15686,0.16797,0.16797,0.93449,0.93449
34,256,0.76172,0.19193,0.21484,0.21484,0.91789,0.91789
35,256,1.39844,0.35410,0.36328,0.36328,0.83140,0.83140
36,256,0.53906,0.13650,0.15234,0.15234,0.93578,0.93578
37,256,1.12109,0.28082,0.31641,0.31641,0.88262,0.88262
38,256,0.74219,0.18664,0.19922,0.19922,0.90766,0.90766
39,256,0.66797,0.16716,0.17969,0.17969,0.91303,0.91303
40,256,1.42578,0.35437,0.37109,0.37109,0.84712,0.84712
41,256,0.44922,0.11275,0.13281,0.13281,0.94148,0.94148
42,256,0.51172,0.12894,0.14844,0.14844,0.94238,0.94238
43,256,1.34766,0.34125,0.33984,0.33984,0.83854,0.83854
44,256,0.63281,0.16024,0.18750,0.18750,0.91208,0.91208
45,256,0.90625,0.22701,0.26562,0.26562,0.89929,0.89929
46,256,0.66406,0.16699,0.17188,0.17188,0.91797,0.91797
47,256,0.37109,0.09286,0.10547,0.10547,0.95339,0.95339
48,256,1.33203,0.33107,0.34766,0.34766,0.85731,0.85731
49,256,0.69531,0.17451,0.21094,0.21094,0.91600,0.91600
50,256,0.42969,0.10827,0.12891,0.12891,0.94850,0.94850
51,256,1.35938,0.34421,0.34375,0.34375,0.83311,0.83311
52,256,0.37891,0.09594,0.10938,0.10938,0.95086,0.95086
53,256,0.92578,0.23190,0.26953,0.26953,0.89520,0.89520
54,256,0.86328,0.21709,0.23828,0.23828,0.89616,0.89616
55,256,0.37109,0.09286,0.09766,0.09766,0.95382,0.95382
56,256,1.59375,0.39612,0.41797,0.41797,0.81686,0.81686
57,256,0.49609,0.12451,0.15625,0.15625,0.95057,0.95057
58,256,0.47266,0.11909,0.14062,0.14062,0.94228,0.94228
59,256,1.31250,0.33234,0.33203,0.33203,0.84990,0.84990
